Neighborhood,Area,Walk_Score_Link,HomeAway_Link,Zillow_Links,new_zillow_links,Streeteasy
Park Slope,Brooklyn,https://www.walkscore.com/NY/New_York/Park_Slope,https://www.homeaway.com/results/new-york/brooklyn/region:5166/,http://www.zillow.com/Park-Slope-New-York-NY/rentals/,http://www.zillow.com/Park-Slope-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/park-slope
Lower East Side,Lower Manhattan,https://www.walkscore.com/NY/New_York/Lower_East_Side,https://www.homeaway.com/results/new-york/lower-east-side/region:22543/,http://www.zillow.com/Lower-East-Side-New-York-NY/rentals/,http://www.zillow.com/Lower-East-Side-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/lower-east-side
Greenpoint,Brooklyn,https://www.walkscore.com/NY/New_York/Greenpoint,https://www.homeaway.com/results/refined/keywords:Williamsburg%2C+Brooklyn%2C+NY%2C+USA/,http://www.zillow.com/Greenpoint-New-York-NY/rentals/,http://www.zillow.com/Greenpoint-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/greenpoint
Prospect Heights,Brooklyn,https://www.walkscore.com/NY/New_York/Prospect_Heights,https://www.homeaway.com/results/keywords:Prospect+Heights%2C+Brooklyn%2C+NY%2C+USA,http://www.zillow.com/Prospect-Heights-New-York-NY/rentals/,http://www.zillow.com/Prospect-Heights-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/prospect-heights
Sutton Place,Midtown,https://www.walkscore.com/NY/New_York/Midtown_East,https://www.homeaway.com/results/new-york/sutton-place/region:22552/,http://www.zillow.com/Sutton-Place-New-York-NY/rentals/,http://www.zillow.com/Sutton-Place-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/sutton-place
Kips Bay,Midtown,https://www.walkscore.com/NY/New_York/Kips_Bay,https://www.homeaway.com/results/new-york/turtle-bay/region:22556/,http://www.zillow.com/Midtown-New-York-NY/rentals/,http://www.zillow.com/Midtown-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/kips-bay
Crown Heights,Brooklyn,https://www.walkscore.com/NY/New_York/Crown_Heights,https://www.homeaway.com/results/world/region:1/keywords:Crown+Heights%2C+Brooklyn%2C+NY%2C+USA,http://www.zillow.com/Crown-Heights-New-York-NY/rentals/,http://www.zillow.com/Crown-Heights-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/rown-heights
Bushwick,Brooklyn,https://www.walkscore.com/NY/New_York/Bushwick,https://www.homeaway.com/results/world/region:1/keywords:Bushwick%2C+Brooklyn%2C+NY%2C+USA,http://www.zillow.com/Bushwick-New-York-NY/rentals/,http://www.zillow.com/Bushwick-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/bushwick
Bedford-Stuyvesant,Brooklyn,https://www.walkscore.com/NY/New_York/Bedford-Stuyvesant,https://www.homeaway.com/results/world/region:1/keywords:Bedford-Stuyvesant%2C+Brooklyn%2C+NY%2C+USA,http://www.zillow.com/Bedford-Stuyvesant-New-York-NY/rentals/,http://www.zillow.com/Bedford-Stuyvesant-New-York-NY/rentals/90_days/,http://streeteasy.com/for-rent/bedford-stuyvesant
East Harlem,Upper Manhattan,https://www.walkscore.com/NY/New_York/East_Harlem,https://www.homeaway.com/results/new-york/east-harlem/region:70424,http://www.zillow.com/east-harlem-manhattan-new-york-ny/rentals/,http://www.zillow.com/east-harlem-manhattan-new-york-ny/rentals/90_days/,http://streeteasy.com/for-rent/east-harlem
Harlem,Upper Manhattan,https://www.walkscore.com/NY/New_York/East_Harlem,https://www.homeaway.com/results/new-york/harlem/region:22541,http://www.zillow.com/harlem-manhattan-new-york-ny/rentals/,http://www.zillow.com/harlem-manhattan-new-york-ny/rentals/90_days/,http://streeteasy.com/for-rent/harlem
