,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
110,"Dallas, TX",DRS Technologies,25d2fc074a824a59,Manufacturing Technician II,,43.8,239,24 days,2016-10-16 00:37:13.486724
111,"Arlington, TX 76010 (East area)",2M Research Services,34da4d19dc53fec0,Senior Survey Sampling Statistician,,,,30+ days,2016-10-16 00:37:13.486724
112,"Dallas, TX",KellyMitchell,135b7daa6034c303,Data Scientist,,44.4,28,30+ days,2016-10-16 00:37:13.486724
113,"Plano, TX",Capital One,be690b4245f595f6,"Director, Assistant General Counsel - Auto Finance",,44.4,2904,11 days,2016-10-16 00:37:13.486724
114,"Plano, TX",AT&T,f4344f6b597a00e9,Principal System Engineer BIG DATA,,44.4,14286,30+ days,2016-10-16 00:37:13.486724
115,"Dallas, TX",Federal Reserve Bank of Dallas,51031cccbf765d3c,Research Analyst (Energy),,51.6,314,30+ days,2016-10-16 00:37:13.486724
116,"Dallas, TX 75234",IBM,cb0fad4ae2e841c7,UX Product Designer,,51.0,12110,30+ days,2016-10-16 00:37:13.486724
117,"Dallas, TX",Deloitte,b022a4e6726dcbf7,Advanced Analytics Enablement Big Data Manager,,51.0,3464,29 days,2016-10-16 00:37:13.486724
118,"Plano, TX",Capital One,e7dcb3467e1ca7ac,Data Analysis Manager,,44.4,2904,30+ days,2016-10-16 00:37:13.486724
119,"Irving, TX",Princeton Information Ltd,f9a29e58ec0489db,Advanced Analytics Data Services Engineer,,42.6,19,30+ days,2016-10-16 00:37:13.486724
120,"Arlington, TX 76010 (East area)",2M Research Services,0338c16b0d9e704a,Senior Statistician,,,,30+ days,2016-10-16 00:37:13.486724
121,"Dallas, TX",BOEING,b9b80c380b535ad7,Cyber Security Specialist,,51.6,2923,3 days,2016-10-16 00:37:13.486724
122,"Irving, TX 75014",Rang Technologies,b2f2ac49c7d5de61,Data Scientist,,,,2 days,2016-10-16 00:37:13.486724
123,"Dallas, TX",All-In Analytics,c5cb3a3b8a1cdb09,Senior Marketing Data Scientist,"$80,000 - $100,000 a year",,,30+ days,2016-10-16 00:37:13.486724
124,"Dallas, TX",Post Holdings,10d82f20182cf157,SR Accounting Manager,,51.0,26,5 days,2016-10-16 00:37:13.486724
125,"Dallas, TX 75390 (Northeast Dallas area)",UT Southwestern Medical Center,92800446dad039de,Research Scientist - The Advanced Imaging Research Center,,43.8,202,30+ days,2016-10-16 00:37:13.486724
126,"Irving, TX 75038","ATR International, Inc.",81a1b7602e30eda3,Associate Scientist,,52.800003,16,23 days,2016-10-16 00:37:13.486724
127,"Plano, TX",Lighthouse Recruiting,370f574578b72c2f,"Genetic Counselor, Clinical Genomics","$80,000 - $110,000 a year",,,12 days,2016-10-16 00:37:13.486724
128,"Plano, TX",Capital One,6dfc636c6387ce68,"Data Science, Senior Manager",,44.4,2904,30+ days,2016-10-16 00:37:13.486724
129,"Dallas, TX 75240 (Far North area)",Hotels.com,22c2753df91921d4,"Director, Partner Marketing – Global TMS (Hotels.com - Dalla...",,44.4,57,30 days,2016-10-16 00:37:13.486724
130,"Dallas, TX",Selby Jennings,239638d116043f69,Catastrophe Risk Analyst - Quantitative,"$75,000 - $120,000 a year",,,30+ days,2016-10-16 00:37:13.486724
131,"Grapevine, TX",GameStop,e16595d9a0789588,"Marketing Manager, Data Analysis and CRM Insights",,43.2,3481,30+ days,2016-10-16 00:37:13.486724
132,"Irving, TX 75038","ATR International, Inc.",a16edbe1e85cd08f,Sr. Scientist,,52.800003,16,5 days,2016-10-16 00:37:13.486724
133,"Arlington, TX",XtGlobal Inc,ab5fe5ce90f59a8a,Lead Data Engineer,,,,30+ days,2016-10-16 00:37:13.486724
134,"Dallas, TX",Medix,a4c6bcb037e1eee4,Research Scientist,,43.8,56,30+ days,2016-10-16 00:37:13.486724
135,"Irving, TX 75039",Experis,86853a62902a91d0,Support Engineer,,43.8,294,2 days,2016-10-16 00:37:13.486724
136,"Irving, TX 75063","SilverXis, Inc.",f6d4a45bd9fbf29b,Business Analyst,,,,30+ days,2016-10-16 00:37:13.486724
137,"Dallas, TX 75390 (Northeast Dallas area)",UT Southwestern Medical Center,b5fcfcfa5fc566eb,Compliance Analyst III - Research & Academics,,43.8,202,30+ days,2016-10-16 00:37:13.486724
138,"Dallas, TX 75215 (South Boulevard-Park Row area)",Baylor Scott & White Health,0b3a5879fa58b841,Bioinformatics Scientist,,43.8,206,30+ days,2016-10-16 00:37:13.486724
139,"Arlington, TX",inVentiv Health Clincal,19703dbb24072d39,Statistical Analyst (Reporting),,,,30+ days,2016-10-16 00:37:13.486724
140,"Dallas, TX",American Heart Association,7b699c4dd061f754,Temporary Project Coordinator – Scientific Meetings,,43.8,219,22 days,2016-10-16 00:37:13.486724
141,"Plano, TX",PepsiCo,a769b0466b3d7647,PD Scientist,,44.4,5088,30+ days,2016-10-16 00:37:13.486724
142,"Plano, TX",Engage Partners,6e18ad353fe7cae6,Big Data Spark Engineer,,52.199997,10,30+ days,2016-10-16 00:37:13.486724
143,"Dallas, TX","Amazon Web Services, Inc.",6469e17e9df7d039,Big Data Support Engineer,,43.2,9607,30+ days,2016-10-16 00:37:13.486724
