,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
560,"Boulder, CO",Ball Aerospace,46d88ab414322a0c,Associate Engineer-Configuration Management (659086) - Secur...,,43.2,35,30+ days,2016-10-16 00:33:17.464555
561,"Broomfield, CO",Ball Aerospace,04bdd8c5baea2f3a,Engineer Sr-Electrical Power Systems (658878) - Security Cle...,,43.2,35,23 days,2016-10-16 00:33:17.464555
562,"Broomfield, CO",Ball Aerospace,d5ae8e95ef1f24f9,Administrative Associate III - National Defense (659453) - S...,,43.2,35,30+ days,2016-10-16 00:33:17.464555
563,"Broomfield, CO",Code42,083daa4c5fa46e4a,Principal Data Scientist,,,,8 days,2016-10-16 00:33:17.464555
564,"Boulder, CO",Ball Aerospace,46d88ab414322a0c,Associate Engineer-Configuration Management (659086) - Secur...,,43.2,35,30+ days,2016-10-16 00:33:17.464555
565,"Broomfield, CO",Ball Aerospace,04bdd8c5baea2f3a,Engineer Sr-Electrical Power Systems (658878) - Security Cle...,,43.2,35,23 days,2016-10-16 00:33:17.464555
566,"Broomfield, CO",Ball Aerospace,d5ae8e95ef1f24f9,Administrative Associate III - National Defense (659453) - S...,,43.2,35,30+ days,2016-10-16 00:33:17.464555
567,"Broomfield, CO",Code42,083daa4c5fa46e4a,Principal Data Scientist,,,,8 days,2016-10-16 00:33:17.464555
568,"Boulder, CO",Ball Aerospace,46d88ab414322a0c,Associate Engineer-Configuration Management (659086) - Secur...,,43.2,35,30+ days,2016-10-16 00:33:17.464555
569,"Broomfield, CO",Ball Aerospace,04bdd8c5baea2f3a,Engineer Sr-Electrical Power Systems (658878) - Security Cle...,,43.2,35,23 days,2016-10-16 00:33:17.464555
570,"Broomfield, CO",Ball Aerospace,d5ae8e95ef1f24f9,Administrative Associate III - National Defense (659453) - S...,,43.2,35,30+ days,2016-10-16 00:33:17.464555
571,"Broomfield, CO",Code42,083daa4c5fa46e4a,Principal Data Scientist,,,,8 days,2016-10-16 00:33:17.464555
572,"Boulder, CO",Ball Aerospace,46d88ab414322a0c,Associate Engineer-Configuration Management (659086) - Secur...,,43.2,35,30+ days,2016-10-16 00:33:17.464555
573,"Broomfield, CO",Ball Aerospace,04bdd8c5baea2f3a,Engineer Sr-Electrical Power Systems (658878) - Security Cle...,,43.2,35,23 days,2016-10-16 00:33:17.464555
574,"Broomfield, CO",Ball Aerospace,d5ae8e95ef1f24f9,Administrative Associate III - National Defense (659453) - S...,,43.2,35,30+ days,2016-10-16 00:33:17.464555
575,"Broomfield, CO",Code42,083daa4c5fa46e4a,Principal Data Scientist,,,,8 days,2016-10-16 00:33:17.464555
576,"Boulder, CO",Ball Aerospace,46d88ab414322a0c,Associate Engineer-Configuration Management (659086) - Secur...,,43.2,35,30+ days,2016-10-16 00:33:17.464555
577,"Broomfield, CO",Ball Aerospace,04bdd8c5baea2f3a,Engineer Sr-Electrical Power Systems (658878) - Security Cle...,,43.2,35,23 days,2016-10-16 00:33:17.464555
578,"Broomfield, CO",Ball Aerospace,d5ae8e95ef1f24f9,Administrative Associate III - National Defense (659453) - S...,,43.2,35,30+ days,2016-10-16 00:33:17.464555
579,"Broomfield, CO",Code42,083daa4c5fa46e4a,Principal Data Scientist,,,,8 days,2016-10-16 00:33:17.464555
580,"Boulder, CO",Ball Aerospace,46d88ab414322a0c,Associate Engineer-Configuration Management (659086) - Secur...,,43.2,35,30+ days,2016-10-16 00:33:17.464555
581,"Broomfield, CO",Ball Aerospace,04bdd8c5baea2f3a,Engineer Sr-Electrical Power Systems (658878) - Security Cle...,,43.2,35,23 days,2016-10-16 00:33:17.464555
582,"Broomfield, CO",Ball Aerospace,d5ae8e95ef1f24f9,Administrative Associate III - National Defense (659453) - S...,,43.2,35,30+ days,2016-10-16 00:33:17.464555
583,"Broomfield, CO",Code42,083daa4c5fa46e4a,Principal Data Scientist,,,,8 days,2016-10-16 00:33:17.464555
584,"Boulder, CO",Ball Aerospace,46d88ab414322a0c,Associate Engineer-Configuration Management (659086) - Secur...,,43.2,35,30+ days,2016-10-16 00:33:17.464555
585,"Broomfield, CO",Ball Aerospace,04bdd8c5baea2f3a,Engineer Sr-Electrical Power Systems (658878) - Security Cle...,,43.2,35,23 days,2016-10-16 00:33:17.464555
586,"Broomfield, CO",Ball Aerospace,d5ae8e95ef1f24f9,Administrative Associate III - National Defense (659453) - S...,,43.2,35,30+ days,2016-10-16 00:33:17.464555
587,"Broomfield, CO",Code42,083daa4c5fa46e4a,Principal Data Scientist,,,,8 days,2016-10-16 00:33:17.464555
588,"Boulder, CO",Ball Aerospace,46d88ab414322a0c,Associate Engineer-Configuration Management (659086) - Secur...,,43.2,35,30+ days,2016-10-16 00:33:17.464555
589,"Broomfield, CO",Ball Aerospace,04bdd8c5baea2f3a,Engineer Sr-Electrical Power Systems (658878) - Security Cle...,,43.2,35,23 days,2016-10-16 00:33:17.464555
590,"Broomfield, CO",Ball Aerospace,d5ae8e95ef1f24f9,Administrative Associate III - National Defense (659453) - S...,,43.2,35,30+ days,2016-10-16 00:33:17.464555
591,"Broomfield, CO",Code42,083daa4c5fa46e4a,Principal Data Scientist,,,,8 days,2016-10-16 00:33:17.464555
592,"Boulder, CO",Ball Aerospace,46d88ab414322a0c,Associate Engineer-Configuration Management (659086) - Secur...,,43.2,35,30+ days,2016-10-16 00:33:17.464555
593,"Broomfield, CO",Ball Aerospace,04bdd8c5baea2f3a,Engineer Sr-Electrical Power Systems (658878) - Security Cle...,,43.2,35,23 days,2016-10-16 00:33:17.464555
594,"Broomfield, CO",Ball Aerospace,d5ae8e95ef1f24f9,Administrative Associate III - National Defense (659453) - S...,,43.2,35,30+ days,2016-10-16 00:33:17.464555
595,"Broomfield, CO",Code42,083daa4c5fa46e4a,Principal Data Scientist,,,,8 days,2016-10-16 00:33:17.464555
596,"Boulder, CO",Ball Aerospace,46d88ab414322a0c,Associate Engineer-Configuration Management (659086) - Secur...,,43.2,35,30+ days,2016-10-16 00:33:17.464555
597,"Broomfield, CO",Ball Aerospace,04bdd8c5baea2f3a,Engineer Sr-Electrical Power Systems (658878) - Security Cle...,,43.2,35,23 days,2016-10-16 00:33:17.464555
598,"Broomfield, CO",Ball Aerospace,d5ae8e95ef1f24f9,Administrative Associate III - National Defense (659453) - S...,,43.2,35,30+ days,2016-10-16 00:33:17.464555
599,"Broomfield, CO",Code42,083daa4c5fa46e4a,Principal Data Scientist,,,,8 days,2016-10-16 00:33:17.464555
600,"Boulder, CO",Ball Aerospace,46d88ab414322a0c,Associate Engineer-Configuration Management (659086) - Secur...,,43.2,35,30+ days,2016-10-16 00:33:17.464555
601,"Broomfield, CO",Ball Aerospace,04bdd8c5baea2f3a,Engineer Sr-Electrical Power Systems (658878) - Security Cle...,,43.2,35,23 days,2016-10-16 00:33:17.464555
602,"Broomfield, CO",Ball Aerospace,d5ae8e95ef1f24f9,Administrative Associate III - National Defense (659453) - S...,,43.2,35,30+ days,2016-10-16 00:33:17.464555
603,"Broomfield, CO",Code42,083daa4c5fa46e4a,Principal Data Scientist,,,,8 days,2016-10-16 00:33:17.464555
