,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
179,"San Jose, CA",LeEco,f27947605900623e,Payment Research Analyst,,,,26 days,2016-10-16 00:31:42.416696
180,"Los Gatos, CA",Netflix,f5a32d1496b7e3d2,Senior Data Scientist - Natural Language Processing (NLP),,43.8,239,30+ days,2016-10-16 00:31:42.416696
181,"Santa Clara, CA 95054",Chegg,cad4052e0e31ffb4,Data Analyst,,40.8,26,30+ days,2016-10-16 00:31:42.416696
182,"Palo Alto, CA",Splunk,eb42359405baac00,Security Data Scientist- Scala-Java technologies,,51.0,9,30+ days,2016-10-16 00:31:42.416696
183,"Redwood Shores, CA",Oracle,d9c14601601a83d6,Data Scientist 4,,44.4,1012,30+ days,2016-10-16 00:31:42.416696
184,"Santa Clara, CA 95054",LumenData,5d62bc310ba063ef,Data Scientist,,51.0,2,30+ days,2016-10-16 00:31:42.416696
185,"San Jose, CA",CSS Staffing,70d783ad07d4c0da,Data Packet Analysis/ Load Balancing Engineer F5,,44.4,76,8 days,2016-10-16 00:31:42.416696
186,"Palo Alto, CA",Cheetah Ad Platform,e49c2997f8c42256,Machine Learning - Deep Learning Software Engineer,,,,30+ days,2016-10-16 00:31:42.416696
187,"Palo Alto, CA",Activehours,983bfff3de2312eb,Risk Analyst,,,,3 days,2016-10-16 00:31:42.416696
188,"Santa Clara, CA 95051",Agilent,ebd1335b4750ecb1,Applications Scientist - Sequencing Specialist,,52.199997,268,24 days,2016-10-16 00:31:42.416696
189,"Palo Alto, CA",Coupang,269728a075850ac1,Senior Data Scientist - Search,,52.800003,3,30+ days,2016-10-16 00:31:42.416696
190,"Cupertino, CA",Adecco: USA,2dd47529e8975a90,Data Scientist/Program Analytics Analyst,,44.4,10,30+ days,2016-10-16 00:31:42.416696
191,"Mountain View, CA",Google,b9b1b07821852fc0,"Analyst, Staffing and Operations",,52.800003,1218,25 days,2016-10-16 00:31:42.416696
192,"Belmont, CA",Ten-X,975716b46b90a298,Senior Data Scientist,,,,1 day,2016-10-16 00:31:42.416696
193,"Santa Clara, CA 95054",Palo Alto Networks,a25f8107ec18ffb3,Principal Big Data Engineer,,52.199997,14,30+ days,2016-10-16 00:31:42.416696
194,"San Jose, CA",Smith Hanley Associates,abe45e46e55fac07,Senior Data Scientist,"$75,000 - $85,000 a year",51.6,12,30+ days,2016-10-16 00:31:42.416696
195,"Palo Alto, CA","PARC, a Xerox company",a877e5e72cb15e76,Computer Vision R&D Scientist,,,,21 hours,2016-10-16 00:31:42.416696
196,"Pleasanton, CA",10X Genomics,50a2e75ed126754e,Applications Data Analyst,,,,19 days,2016-10-16 00:31:42.416696
197,"Mountain View, CA",Google,045ea3ec34029bde,"Statistician/Quantitative Analyst, YouTube",,52.800003,1218,30+ days,2016-10-16 00:31:42.416696
198,"Santa Clara Valley, CA",Apple,371da280d2ce51b2,GPGPU/Scientific Computing Research Scientist,,52.800003,2568,10 days,2016-10-16 00:31:42.416696
199,"Palo Alto, CA",Quartzy,e57c45e80456764b,"Data Scientist, Analytics",,,,30+ days,2016-10-16 00:31:42.416696
200,"Palo Alto, CA",Amazon Corporate LLC,44c6b831ae3bd56f,Software Development Engineer - AWS & Machine Learning,,43.2,9607,7 days,2016-10-16 00:31:42.416696
201,"Mountain View, CA",Quora,bfb7ba711d4515b8,Data Scientist Intern,,,,30+ days,2016-10-16 00:31:42.416696
202,"Mountain View, CA",Google,73e00e16dd831012,"Engineering Resident, University Graduate (Fixed Term Employ...",,52.800003,1218,30+ days,2016-10-16 00:31:42.416696
203,"Palo Alto, CA",Entefy Inc.,452dd7347caebe3e,Senior Machine Learning Engineer,,,,27 days,2016-10-16 00:31:42.416696
204,"Palo Alto, CA 94301 (Professorville area)",Aurora Solar,6ffe2f7629f20047,Part Time Research Analyst,,,,12 days,2016-10-16 00:31:42.416696
205,"Los Gatos, CA",Netflix Inc.,9ccc95482fe3fefe,Senior Data Scientist - Machine Learning Research,,43.8,239,8 days,2016-10-16 00:31:42.416696
206,"Sunnyvale, CA",AT&T,0286a9cbadb48661,Big Data Technical Intern I,,44.4,14286,24 days,2016-10-16 00:31:42.416696
207,"Santa Clara, CA",Keysight Technologies,05a805cd49926476,R&D System Engineer,,51.6,19,24 days,2016-10-16 00:31:42.416696
208,"San Jose, CA",Deloitte,7f69911ef2cd7784,Big Data Manager,,51.0,3464,29 days,2016-10-16 00:31:42.416696
209,"Mountain View, CA",Symantec,3ab2a28448828003,Principal Data Scientist,,43.8,434,30+ days,2016-10-16 00:31:42.416696
