,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
126,"Crystal City, VA",Novetta,8d1118b6d4dab46d,Data Scientist,,,,30+ days,2016-10-16 00:30:23.897629
127,"Washington, DC",CACI International Inc,1e6bc431e674b556,Data Scientist Senior Job,,44.4,815,30+ days,2016-10-16 00:30:23.897629
128,"Washington, DC",PCORI,be563c41951dc2ae,"Data Analyst, Evaluation and Analysis",,55.199997,3,30+ days,2016-10-16 00:30:23.897629
129,"Washington, DC",Consumer Financial Protection Bureau,16dee3e496facc5b,Senior Research Analyst CN-53/53,"$106,262 - $161,600 a year",42.6,20,10 days,2016-10-16 00:30:23.897629
130,"Washington, DC 20036 (Downtown area)",The Rock Creek Group,f2b7c9e8283708ee,Data Scientist Intern,,,,30+ days,2016-10-16 00:30:23.897629
131,"Laurel, MD",The Johns Hopkins Applied Physics Laboratory,600a1c373f4dca13,Data Scientist,,51.0,30,30+ days,2016-10-16 00:30:23.897629
132,"Bethesda, MD 20814","Teaching Strategies, LLC",1d1cff95004c6c16,Data Scientist,,,,30+ days,2016-10-16 00:30:23.897629
133,"Washington, DC",Vox Media,c5ba658580ac6d57,Data Scientist,,52.800003,4,30+ days,2016-10-16 00:30:23.897629
134,"Washington, DC","Behavioral Health, Department of",d5e0ede992147947,Senior Research Analyst,"$76,082 - $97,340 a year",,,8 days,2016-10-16 00:30:23.897629
135,"Reston, VA",Synchronoss,ae15dabb837aa98d,Data Scientist - Statistician,,43.8,14,30+ days,2016-10-16 00:30:23.897629
136,"Reston, VA",comScore,693fe72ec290cf66,Statistical Analyst,,42.6,30,11 days,2016-10-16 00:30:23.897629
137,"Reston, VA","Synchronoss Technologies, Inc.",ae7fa6b06f4dbb43,Data Scientist - Statistician,,,,30+ days,2016-10-16 00:30:23.897629
138,"Silver Spring, MD 20910","Riverside Technology, inc.",bfc1bbb5c2eb9c0d,Junior Space System Engineer,,,,17 days,2016-10-16 00:30:23.897629
139,"Reston, VA",Qbase,1cf99f5409c855b3,SENIOR DATA ANALYST,,40.8,4,2 days,2016-10-16 00:30:23.897629
140,"Arlington, VA",BAE Systems,8f681665ea83baa7,Talent Management Analyst / Data Scientist,,44.4,1700,30+ days,2016-10-16 00:30:23.897629
141,"College Park, MD",University of Maryland,64cfc7189166fffe,Analyst (Statistician),,52.199997,409,18 days,2016-10-16 00:30:23.897629
142,"Washington, DC 20037 (Foggy Bottom area)",The George Washington University Hospital,d04d2f0498f3c2c5,"Manager, Data Analysis Quality Assurance",,51.6,250,12 days,2016-10-16 00:30:23.897629
143,"Washington, DC 20003 (Capitol Hill area)",Alion Science and Technology,beab4984a1df271b,Mathematician Statistician,,42.6,100,30+ days,2016-10-16 00:30:23.897629
144,"Bowie, MD 20715",Inovalon,d09d6ec2ad9d2b84,"Analyst, Financial and Quantitative Analytics",,40.8,173,1 day,2016-10-16 00:30:23.897629
145,"Washington, DC",Stimson Center,dfd6678b91203905,"Research Analyst, Natural Security Forum",,,,5 days,2016-10-16 00:30:23.897629
146,"Reston, VA",Resonate,ee5a9844aef05444,Sr. Data Scientist,,54.0,2,22 days,2016-10-16 00:30:23.897629
147,"Washington, DC",American Progress,20762c45da96b080,"Policy Analyst, LGBT Research and Communications Project",,,,10 days,2016-10-16 00:30:23.897629
148,"Alexandria, VA",Information Innovators Inc.,8b9b281debf2212e,Big Data Scientist,,,,30+ days,2016-10-16 00:30:23.897629
149,"McLean, VA",Capital One,82bc9441ff8f926c,Quantitative Principal Analyst – Model Validation,,44.4,2904,7 days,2016-10-16 00:30:23.897629
