,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
82,"Los Angeles, CA","The TCW Group, Inc.",ccb9d5f26b7453a5,Equity Research - Associate Analyst,,,,2 days,2016-10-16 00:29:05.084612
83,"Los Angeles, CA",Deloitte,795fa488ed570fac,Big Data Manager,,51.0,3464,29 days,2016-10-16 00:29:05.084612
84,"Los Angeles, CA",Cedars-Sinai,e68645d28d3d3763,Project Scientist,,52.199997,192,5 days,2016-10-16 00:29:05.084612
85,"Hawthorne, CA 90250",SpaceX,f48c6304289ab4ac,Data Scientist,,42.0,81,30+ days,2016-10-16 00:29:05.084612
86,"Los Angeles, CA",Cedars-Sinai,7a287b3efcfc7e9f,Research Associate II,,52.199997,192,4 days,2016-10-16 00:29:05.084612
87,"Duarte, CA 91010",City Of Hope,21c09669c9e16681,"Data Scientist, Clinical Informatics",,51.0,111,30+ days,2016-10-16 00:29:05.084612
88,"El Segundo, CA 90245",AT&T,951a515bbf3e325e,Big Data Technical Intern I,,44.4,14286,24 days,2016-10-16 00:29:05.084612
89,"Santa Monica, CA 90401",Milken Institute,a46f15b615ea6b4d,Senior Research Analyst,,,,30+ days,2016-10-16 00:29:05.084612
90,"Los Angeles, CA",TBWA\Chiat\Day,0281c5997ab15bb3,Senior Research Analyst/Intelligence Officer,,43.8,4,13 days,2016-10-16 00:29:05.084612
91,"Northridge, CA",Medtronic,cccd650bd6887252,Sr. Principal Data Scientist,,51.0,790,30+ days,2016-10-16 00:29:05.084612
92,"Anaheim, CA",CareSource,b1e88bc1cbc9cbf3,Support Analyst/Cognos/Crystal Reports,,42.6,69,1 day,2016-10-16 00:29:05.084612
93,"Pasadena, CA",California University of Technology,8d48e934ceb12a17,Scientific Researcher,,,,3 days,2016-10-16 00:29:05.084612
94,"Northridge, CA",Areté Associates,22d61b97256e6f27,Computational Scientist,,51.6,8,19 hours,2016-10-16 00:29:05.084612
95,"Glendale, CA",Apex Systems Inc,b69ce7d462e0afe2,Data Scientist GIS,,43.8,303,18 days,2016-10-16 00:29:05.084612
96,"Santa Monica, CA 90401",Perr&Knight,72b3d273858d8629,Statistical Reporting Analyst,,52.800003,3,1 day,2016-10-16 00:29:05.084612
97,"El Segundo, CA 90245",The Aerospace Corporation,e2188f4f60a27a18,Identity Access Developer,,52.199997,46,1 day,2016-10-16 00:29:05.084612
98,"Los Angeles, CA",Anvaya Solutions Inc,5c6b5f3f7e9f5a00,SAS Database Marketing Statistician/Analyst,,,,30+ days,2016-10-16 00:29:05.084612
99,"Cerritos, CA 90703","Sunwest Mortgage Company, Inc.",256e9cc769a8c633,Business Analyst - Operation Research,,,,4 days,2016-10-16 00:29:05.084612
100,"Pasadena, CA",Oben,95d50c66f5765ed3,Deep Learning Scientist,,,,30+ days,2016-10-16 00:29:05.084612
101,"Industry, CA",Torrid,dc807ffabc6248f6,Marketing Data Scientist,,43.8,268,30+ days,2016-10-16 00:29:05.084612
102,"Los Angeles, CA 90028",ZestFinance,7f382ae01ae206eb,Sr. Assoc Machine Learning Modeler / Data Scientist,,51.0,2,30+ days,2016-10-16 00:29:05.084612
103,"Los Angeles, CA",UCLA Health,42da5a15908c5336,"Statistician, Assistant",,42.0,23,30+ days,2016-10-16 00:29:05.084612
104,"Los Angeles, CA 90025",Capital Group,383a784f191e6fc5,Risk and Quantitative Solutions Analyst Senior,,51.0,116,6 days,2016-10-16 00:29:05.084612
105,"Monrovia, CA",Eurofins,61acf6d1bcd5ff39,Scientist,,,,11 days,2016-10-16 00:29:05.084612
106,"Santa Monica, CA","TrueCar, Inc.",fd0cf4348a41249b,Analyst,,39.0,6,30+ days,2016-10-16 00:29:05.084612
107,"El Segundo, CA 90245",Engility Corporation,2c505212962a8e92,Operations Research Analyst,,43.2,243,29 days,2016-10-16 00:29:05.084612
108,"Los Angeles, CA",Los Angeles County Human Resources,a51029a8d1d79129,SENIOR STATISTICAL CLERK,"$36,339 - $48,794 a year",,,11 days,2016-10-16 00:29:05.084612
109,"Duarte, CA 91010",City Of Hope,4667fc7efaa25396,Research Business Analyst,,51.0,111,15 days,2016-10-16 00:29:05.084612
110,"Culver City, CA",Ipsos North America,194c6b709feccea0,"Connect - Research Analyst, Behavioral Data Group",,42.6,185,30+ days,2016-10-16 00:29:05.084612
111,"El Segundo, CA 90245",AT&T,7e5ed64312a90103,Big Data Technical Co Op I,,44.4,14286,24 days,2016-10-16 00:29:05.084612
112,"Los Angeles, CA",Gavin de Becker & Associates,f2c6c07a88374c82,Investigations & Research Analyst,,,,30+ days,2016-10-16 00:29:05.084612
113,"Los Angeles, CA",The Camstoll Group,6ebd9fd9d624d7fe,Research Analyst,,,,8 days,2016-10-16 00:29:05.084612
114,"Pasadena, CA",OpenX,a0261ecd756ea7ca,Senior Data Scientist,,43.2,9,30+ days,2016-10-16 00:29:05.084612
115,"El Segundo, CA 90245",The Aerospace Corporation,313ea948bb622150,Search Developer,,52.199997,46,9 days,2016-10-16 00:29:05.084612
116,"Los Angeles, CA",Blue Bottle Coffee Inc.,b46f5e1a928afeb1,Commissary Manager,,,,10 days,2016-10-16 00:29:05.084612
117,"Culver City, CA",Ipsos North America,368c8d795576933a,Observer - Research Analyst,,42.6,185,30+ days,2016-10-16 00:29:05.084612
118,"Santa Monica, CA",General Assembly,0b27e4205312d68e,Part Time Data Science Instructor,,52.800003,74,30+ days,2016-10-16 00:29:05.084612
119,"El Segundo, CA","The AEgis Technologies Group, Inc.",daeec5e72c472f4f,Space Operations Research Analyst,,,,30+ days,2016-10-16 00:29:05.084612
120,"Sherman Oaks, CA 91403",Pinnacle Solutions Inc,0b796c220ebf4bd1,SAS Database Marketing Statistician/Analyst,,,,30+ days,2016-10-16 00:29:05.084612
121,"Culver City, CA",Ubisoft,8e4e5347739b699d,"Sr. Analyst, Research & Development",,51.0,68,29 days,2016-10-16 00:29:05.084612
122,"Los Angeles, CA 90032","California State University, Los Angeles",3c7cef851ac4e87b,SENIOR DASHBOARD DATA SCIENTIST,"$6,249 - $10,857 a month",53.4,7,30+ days,2016-10-16 00:29:05.084612
123,"Los Angeles, CA",Los Angeles County Department of Human Resources,9c09d5bac14fac03,"RESEARCH ANALYST I, BEHAVIORAL SCIENCES/SPANISH","$50,010 - $62,134 a year",,,3 days,2016-10-16 00:29:05.084612
124,"Los Angeles, CA",UCLA Health,3c582454195a337b,Data Scientist and Application Programmer,,42.0,23,30+ days,2016-10-16 00:29:05.084612
125,"Beverly Hills, CA 90210",Netflix,e0b5a72edb76c20d,"Senior Analytics Staff, Media & Marketing",,43.8,239,30+ days,2016-10-16 00:29:05.084612
126,"Los Angeles, CA",Tribogenics,729eda2e908b9b2e,Quality Assurance Engineer - Design,,,,5 days,2016-10-16 00:29:05.084612
127,"Santa Monica, CA",PRA Health Sciences,fffc2d1af9370d1d,"Senior Statistical Programmer, Oncology (Remote)",,41.4,109,12 days,2016-10-16 00:29:05.084612
128,"El Segundo, CA 90245",HealthCare Partners,45d25fdf2075c168,"Market Research Analyst, Senior",,42.6,138,2 days,2016-10-16 00:29:05.084612
129,"Pasadena, CA 91103",eCivis,a95e29ca826777bd,Grants Research Analyst,,,,30+ days,2016-10-16 00:29:05.084612
130,"El Segundo, CA 90245",The Aerospace Corporation,8441c1f9d6f0e388,Member of Technical Staff,,52.199997,46,9 days,2016-10-16 00:29:05.084612
131,"Torrance, CA",Physical Optics,32cdbc6f39ab505b,Research Scientist,,,,30+ days,2016-10-16 00:29:05.084612
132,"Los Angeles, CA",Riot Games,4860c08f29ac9c52,Technical Data Analyst,,51.6,8,30+ days,2016-10-16 00:29:05.084612
133,"Los Angeles, CA",City National Bank,60a97561ba28822b,CCAR Quantitative Analyst,,43.8,159,30+ days,2016-10-16 00:29:05.084612
134,"Los Angeles, CA",DataScience,3d0aefd5ecd9a1a8,Data Engineer,,,,30+ days,2016-10-16 00:29:05.084612
135,"Pasadena, CA",California University of Technology,21462d68c97cc556,Research Scientist,,,,24 days,2016-10-16 00:29:05.084612
136,"Playa Vista, CA",University of Southern California,9f1d5ecd3516a8b0,Research Scientist,,52.199997,355,30+ days,2016-10-16 00:29:05.084612
137,"Los Angeles, CA",Abacus service,6bf6add6f19cda06,"DIRECTOR, CUSTOMER RESEARCH",,51.0,2,10 days,2016-10-16 00:29:05.084612
138,"Pasadena, CA",Oben,7afc11efe021dbd9,Machine Learning Engineer,,,,30+ days,2016-10-16 00:29:05.084612
139,"El Segundo, CA 90245",The Aerospace Corporation,b93669f9c905f162,RF Threat Analyst,,52.199997,46,9 days,2016-10-16 00:29:05.084612
140,"Los Angeles, CA",UCLA Health,d98291cd6e183865,Principal Statistician,,42.0,23,30+ days,2016-10-16 00:29:05.084612
141,"Los Angeles, CA",UCLA Health,265b51c2a97f7359,Programmer Analyst III,,42.0,23,8 days,2016-10-16 00:29:05.084612
142,"Los Angeles, CA",SEIU United Healthcare Workers - West,6b7289686375f70c,Research Analyst,,43.2,36,26 days,2016-10-16 00:29:05.084612
143,"El Segundo, CA 90245",The Aerospace Corporation,cd95aa440399df69,RF Plasma breakdown Scientist,,52.199997,46,3 days,2016-10-16 00:29:05.084612
144,"Pasadena, CA",California Institute of Technology,37df6237de892e53,Senior Research Scientist,,51.6,64,4 days,2016-10-16 00:29:05.084612
145,"El Segundo, CA",Kaleo Software,8b98abb25759c1d0,Looking for a Research Analyst,,,,30+ days,2016-10-16 00:29:05.084612
146,"Los Angeles, CA",tronc,e4ed008d758815e9,Senior Marketing Analyst,,,,30+ days,2016-10-16 00:29:05.084612
147,"Pasadena, CA",Kaiser Permanente,881ba9dce10a6612,Analytical Programmer II/III (SAS or R) - Epidemiological Re...,,52.199997,3799,25 days,2016-10-16 00:29:05.084612
148,"Los Angeles, CA",Worldwide Clinical Trials,155ddd4f41ba5045,Senior/Principal Statistician (Remote/West Coast),,43.2,22,25 days,2016-10-16 00:29:05.084612
149,"Los Angeles, CA",Kelton Global,e31e6495b098fd3f,"Analyst, Qualitative Research",,,,4 days,2016-10-16 00:29:05.084612
150,"Cerritos, CA",Quality Health Strategies,034b1acc725ce024,Chief Statistician - Cerritos or Sacramento,,,,27 days,2016-10-16 00:29:05.084612
151,"Los Angeles, CA",JLL,0e9da02168901abd,"Sr. Research Analyst, Industrial",,43.8,759,30+ days,2016-10-16 00:29:05.084612
152,"Santa Monica, CA",Hulu,5d5cdc8885a02161,Software Development Manager - Data Science,,42.0,2,12 days,2016-10-16 00:29:05.084612
153,"Los Angeles, CA 90020",THC Design,94a583330092d44b,Lab Associate,,,,5 days,2016-10-16 00:29:05.084612
